env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat,Nonzero count
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,0.021544346900318846,0.1946017579181021,448874.00557899487,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,0.2782559402207126,0.1946017579181021,448874.00557899487,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,3.593813663804626,0.1946017579181021,448874.00557899487,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,46.41588833612782,0.1946017579181021,448874.00557899487,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,599.4842503189421,0.1946017579181021,448874.00557899487,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,7742.636826811277,0.19462949149133005,404668.75761216634,7
Pendulum-v1,hw,hardware,STLSQ,0.00035938136638046257,100000.0,0.19458363432841574,398444.1339985698,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,1e-05,0.19453814865425936,270474.9874444698,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,0.0001291549665014884,0.1945547369282843,412657.8837453718,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,0.0016681005372000592,0.19452432387430985,296537.85443049023,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,0.021544346900318846,0.1945932920162353,219650.9018617672,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,0.2782559402207126,0.19462966359090958,263727.170974987,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,3.593813663804626,0.19462966359090958,263727.170974987,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,46.41588833612782,0.19462966359090958,263727.170974987,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,599.4842503189421,0.19462966359090958,263727.170974987,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,7742.636826811277,0.19461634228834124,84556.03645804313,7
Pendulum-v1,hw,hardware,STLSQ,0.0021544346900318843,100000.0,0.19463104341590656,174636.23034265268,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,1e-05,0.19460443134353442,244050.0866359751,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,0.0001291549665014884,0.1945112431677162,39990.26325146875,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,0.0016681005372000592,0.1943015443041968,10221.650324746326,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,0.021544346900318846,0.19453822782172311,3943.426305685867,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,0.2782559402207126,0.19453822782172311,3943.426305685867,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,3.593813663804626,0.19453822782172311,3943.426305685867,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,46.41588833612782,0.19453822782172311,3943.426305685867,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,599.4842503189421,0.19453822782172311,3943.426305685867,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,7742.636826811277,0.19468544402467797,2651.500456823552,7
Pendulum-v1,hw,hardware,STLSQ,0.01291549665014884,100000.0,0.2124156458337278,0.36000102302056636,7
Pendulum-v1,hw,hardware,STLSQ,0.0774263682681127,1e-05,0.19520783821895826,53670.3710038294,7
Pendulum-v1,hw,hardware,STLSQ,0.0774263682681127,0.0001291549665014884,0.36820028566909435,0.3690445807489839,7
Pendulum-v1,hw,hardware,STLSQ,0.0774263682681127,0.0016681005372000592,0.4840341916843347,0.4840341916843347,7
Pendulum-v1,hw,hardware,STLSQ,0.0774263682681127,0.021544346900318846,0.4840341916843347,0.4840341916843347,7
